bbox,content,interactivity,source,type,bbox_parsed
"[0.2760416567325592, 0.03625783324241638, 0.29369214177131653, 0.05774395540356636]",+,False,box_ocr_content_ocr,text,"[0.2760416567325592, 0.03625783324241638, 0.29369214177131653, 0.05774395540356636]"
"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]", localhost:3000,False,box_ocr_content_ocr,text,"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]"
"[0.29050925374031067, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]",Dynamic Online Form Experiment,False,box_ocr_content_ocr,text,"[0.29050925374031067, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]"
"[0.29050925374031067, 0.17412713170051575, 0.40827545523643494, 0.19740375876426697]",Emergency Contact Name,False,box_ocr_content_ocr,text,"[0.29050925374031067, 0.17412713170051575, 0.40827545523643494, 0.19740375876426697]"
"[0.2890625, 0.23321396112442017, 0.3368055522441864, 0.2618621289730072]",Full Name,False,box_ocr_content_ocr,text,"[0.2890625, 0.23321396112442017, 0.3368055522441864, 0.2618621289730072]"
"[0.28877314925193787, 0.29901522397994995, 0.35908564925193787, 0.32587286829948425]", Phone Number,False,box_ocr_content_ocr,text,"[0.28877314925193787, 0.29901522397994995, 0.35908564925193787, 0.32587286829948425]"
"[0.2916666567325592, 0.3307967782020569, 0.35011574625968933, 0.3536257743835449]",(555) 555-1234,False,box_ocr_content_ocr,text,"[0.2916666567325592, 0.3307967782020569, 0.35011574625968933, 0.3536257743835449]"
"[0.6369961500167847, 0.36553019285202026, 0.7095500230789185, 0.3973272144794464]",Submit ,True,box_yolo_content_ocr,icon,"[0.6369961500167847, 0.36553019285202026, 0.7095500230789185, 0.3973272144794464]"
"[0.0, 0.028341762721538544, 0.14095275104045868, 0.0637931153178215]", New Tab ,True,box_yolo_content_ocr,icon,"[0.0, 0.028341762721538544, 0.14095275104045868, 0.0637931153178215]"
"[0.2892659604549408, 0.19494374096393585, 0.4995696246623993, 0.23164556920528412]",John Doe ,True,box_yolo_content_ocr,icon,"[0.2892659604549408, 0.19494374096393585, 0.4995696246623993, 0.23164556920528412]"
"[0.2885662615299225, 0.25909867882728577, 0.500334620475769, 0.2942979037761688]",Jane Doe ,True,box_yolo_content_ocr,icon,"[0.2885662615299225, 0.25909867882728577, 0.500334620475769, 0.2942979037761688]"
"[0.13866697251796722, 0.02890896424651146, 0.2615979313850403, 0.06186135858297348]",Dynamic Online Form ,True,box_yolo_content_ocr,icon,"[0.13866697251796722, 0.02890896424651146, 0.2615979313850403, 0.06186135858297348]"
"[0.6708797216415405, 0.13267743587493896, 0.7095803618431091, 0.1634340137243271]",Shuffle ,True,box_yolo_content_ocr,icon,"[0.6708797216415405, 0.13267743587493896, 0.7095803618431091, 0.1634340137243271]"
"[0.40972188115119934, 0.3426426351070404, 0.5928975343704224, 0.37029799818992615]",Q Search ,True,box_yolo_content_ocr,icon,"[0.40972188115119934, 0.3426426351070404, 0.5928975343704224, 0.37029799818992615]"
"[0.4723956286907196, 0.42678573727607727, 0.4936067759990692, 0.46203821897506714]",Emoji or profile view.,True,box_yolo_content_yolo,icon,"[0.4723956286907196, 0.42678573727607727, 0.4936067759990692, 0.46203821897506714]"
"[0.47289586067199707, 0.5137354731559753, 0.4938608705997467, 0.5473348498344421]",A smiley face emoji.,True,box_yolo_content_yolo,icon,"[0.47289586067199707, 0.5137354731559753, 0.4938608705997467, 0.5473348498344421]"
"[0.49977993965148926, 0.4264957904815674, 0.5216218829154968, 0.463274210691452]",heart like button.,True,box_yolo_content_yolo,icon,"[0.49977993965148926, 0.4264957904815674, 0.5216218829154968, 0.463274210691452]"
"[0.47230640053749084, 0.38624340295791626, 0.4942295551300049, 0.4177718758583069]",a smiley face with a pink tongue sticking out.,True,box_yolo_content_yolo,icon,"[0.47230640053749084, 0.38624340295791626, 0.4942295551300049, 0.4177718758583069]"
"[0.5267230868339539, 0.4264603555202484, 0.5506921410560608, 0.46307995915412903]",A beach umbrella with a beach umbrella tip.,True,box_yolo_content_yolo,icon,"[0.5267230868339539, 0.4264603555202484, 0.5506921410560608, 0.46307995915412903]"
"[0.5008853077888489, 0.6101896166801453, 0.5212780833244324, 0.6419222354888916]",A smiley face emoji.,True,box_yolo_content_yolo,icon,"[0.5008853077888489, 0.6101896166801453, 0.5212780833244324, 0.6419222354888916]"
"[0.47310134768486023, 0.47087350487709045, 0.4938468337059021, 0.5040193796157837]",a smiley face with eyes closed.,True,box_yolo_content_yolo,icon,"[0.47310134768486023, 0.47087350487709045, 0.4938468337059021, 0.5040193796157837]"
