bbox,content,interactivity,source,type,bbox_parsed
"[0.47077545523643494, 0.07878245413303375, 0.5292245149612427, 0.09713518619537354]", localhost:3000,False,box_ocr_content_ocr,text,"[0.47077545523643494, 0.07878245413303375, 0.5292245149612427, 0.09713518619537354]"
"[0.8677662014961243, 0.12175469845533371, 0.9021990895271301, 0.14458370208740234]",Duck.ai,False,box_ocr_content_ocr,text,"[0.8677662014961243, 0.12175469845533371, 0.9021990895271301, 0.14458370208740234]"
"[0.17505787312984467, 0.13473589718341827, 0.37702545523643494, 0.16293643414974213]",Dynamic Online Form Experiment,False,box_ocr_content_ocr,text,"[0.17505787312984467, 0.13473589718341827, 0.37702545523643494, 0.16293643414974213]"
"[0.17390047013759613, 0.17412713170051575, 0.2916666567325592, 0.19740375876426697]",Emergency Contact Email,False,box_ocr_content_ocr,text,"[0.17390047013759613, 0.17412713170051575, 0.2916666567325592, 0.19740375876426697]"
"[0.17332175374031067, 0.2350044697523117, 0.22251157462596893, 0.2618621289730072]",Full Name,False,box_ocr_content_ocr,text,"[0.17332175374031067, 0.2350044697523117, 0.22251157462596893, 0.2618621289730072]"
"[0.17390047013759613, 0.32229185104370117, 0.29890045523643494, 0.3455684781074524]",O Phone O Email O SMS,False,box_ocr_content_ocr,text,"[0.17390047013759613, 0.32229185104370117, 0.29890045523643494, 0.3455684781074524]"
"[0.17390047013759613, 0.350492388010025, 0.29369214177131653, 0.37332138419151306]",Emergency Contact Name,False,box_ocr_content_ocr,text,"[0.17390047013759613, 0.350492388010025, 0.29369214177131653, 0.37332138419151306]"
"[0.17390047013759613, 0.4145031273365021, 0.30005785822868347, 0.43598926067352295]",How did you hear about us?,False,box_ocr_content_ocr,text,"[0.17390047013759613, 0.4145031273365021, 0.30005785822868347, 0.43598926067352295]"
"[0.17505787312984467, 0.4373321533203125, 0.21556712687015533, 0.4556848704814911]",Select one,False,box_ocr_content_ocr,text,"[0.17505787312984467, 0.4373321533203125, 0.21556712687015533, 0.4556848704814911]"
"[0.8156828880310059, 0.49194270372390747, 0.9551504850387573, 0.5196956396102905]",Say hello to Duck.ai,False,box_ocr_content_ocr,text,"[0.8156828880310059, 0.49194270372390747, 0.9551504850387573, 0.5196956396102905]"
"[0.7928240895271301, 0.5872873663902283, 0.9759837985038757, 0.6101163625717163]","Free and private chats, anonymized by",False,box_ocr_content_ocr,text,"[0.7928240895271301, 0.5872873663902283, 0.9759837985038757, 0.6101163625717163]"
"[0.8240740895271301, 0.6051924824714661, 0.9427083134651184, 0.6298120021820068]",us. No account required.,False,box_ocr_content_ocr,text,"[0.8240740895271301, 0.6051924824714661, 0.9427083134651184, 0.6298120021820068]"
"[0.8269675970077515, 0.6956132650375366, 0.9438657164573669, 0.7170993685722351]",Popular Al models from:,False,box_ocr_content_ocr,text,"[0.8269675970077515, 0.6956132650375366, 0.9438657164573669, 0.7170993685722351]"
"[0.7948495149612427, 0.7170993685722351, 0.9748263955116272, 0.7417188882827759]", GPT * Claude MMistral LIama,False,box_ocr_content_ocr,text,"[0.7948495149612427, 0.7170993685722351, 0.9748263955116272, 0.7417188882827759]"
"[0.7948495149612427, 0.8057296276092529, 0.9719328880310059, 0.8290062546730042]",No Al training on your conversations.,False,box_ocr_content_ocr,text,"[0.7948495149612427, 0.8057296276092529, 0.9719328880310059, 0.8290062546730042]"
"[0.78125, 0.8487018942832947, 0.9875578880310059, 0.8733214139938354]","By clicking ""Agree and Continue,"" you accept Duck.ai's",False,box_ocr_content_ocr,text,"[0.78125, 0.8487018942832947, 0.9875578880310059, 0.8733214139938354]"
"[0.8517487049102783, 0.16641129553318024, 0.917047917842865, 0.2014370858669281]",4o-mini v ,True,box_yolo_content_ocr,icon,"[0.8517487049102783, 0.16641129553318024, 0.917047917842865, 0.2014370858669281]"
"[0.783636212348938, 0.9398468732833862, 0.8830481767654419, 0.9750600457191467]",Not Now ,True,box_yolo_content_ocr,icon,"[0.783636212348938, 0.9398468732833862, 0.8830481767654419, 0.9750600457191467]"
"[0.8869902491569519, 0.9398585557937622, 0.9852206110954285, 0.9749260544776917]",Disable Duck.ai ,True,box_yolo_content_ocr,icon,"[0.8869902491569519, 0.9398585557937622, 0.9852206110954285, 0.9749260544776917]"
"[0.5219845771789551, 0.3056798577308655, 0.5939951539039612, 0.337758332490921]",Submit ,True,box_yolo_content_ocr,icon,"[0.5219845771789551, 0.3056798577308655, 0.5939951539039612, 0.337758332490921]"
"[0.7821674346923828, 0.8977388739585876, 0.9850394129753113, 0.9331657886505127]",Agree and Continue ,True,box_yolo_content_ocr,icon,"[0.7821674346923828, 0.8977388739585876, 0.9850394129753113, 0.9331657886505127]"
"[0.17214363813400269, 0.3705574572086334, 0.38315603137016296, 0.4074426293373108]",John Doe ,True,box_yolo_content_ocr,icon,"[0.17214363813400269, 0.3705574572086334, 0.38315603137016296, 0.4074426293373108]"
"[0.17184677720069885, 0.25922828912734985, 0.38249802589416504, 0.29478105902671814]", Jane Doe ,True,box_yolo_content_ocr,icon,"[0.17184677720069885, 0.25922828912734985, 0.38249802589416504, 0.29478105902671814]"
"[0.8184791803359985, 0.8670401573181152, 0.9483543634414673, 0.8860735297203064]",Privacy Policy and Terms of Service. ,True,box_yolo_content_ocr,icon,"[0.8184791803359985, 0.8670401573181152, 0.9483543634414673, 0.8860735297203064]"
"[0.0009989738464355469, 0.028443176299333572, 0.13144515454769135, 0.060221172869205475]",Dynamic Online Form ,True,box_yolo_content_ocr,icon,"[0.0009989738464355469, 0.028443176299333572, 0.13144515454769135, 0.060221172869205475]"
"[0.776394784450531, 0.16496562957763672, 0.8371014595031738, 0.20228981971740723]",O History ,True,box_yolo_content_ocr,icon,"[0.776394784450531, 0.16496562957763672, 0.8371014595031738, 0.20228981971740723]"
"[0.5544670224189758, 0.1321386843919754, 0.593643069267273, 0.1630035787820816]",Shuffle ,True,box_yolo_content_ocr,icon,"[0.5544670224189758, 0.1321386843919754, 0.593643069267273, 0.1630035787820816]"
"[0.1741861253976822, 0.29672771692276, 0.38454070687294006, 0.3216768205165863]", Preferred Contact ,True,box_yolo_content_ocr,icon,"[0.1741861253976822, 0.29672771692276, 0.38454070687294006, 0.3216768205165863]"
"[0.36016809940338135, 0.20211373269557953, 0.37642642855644226, 0.22486668825149536]",A thumbs up or thumbs up icon.,True,box_yolo_content_yolo,icon,"[0.36016809940338135, 0.20211373269557953, 0.37642642855644226, 0.22486668825149536]"
"[0.040798790752887726, 0.06945133954286575, 0.05846225470304489, 0.10390939563512802]",Refresh or restart function.,True,box_yolo_content_yolo,icon,"[0.040798790752887726, 0.06945133954286575, 0.05846225470304489, 0.10390939563512802]"
"[0.6999908685684204, 0.07087267190217972, 0.7164413928985596, 0.1031423807144165]",A simple line or rectangles.,True,box_yolo_content_yolo,icon,"[0.6999908685684204, 0.07087267190217972, 0.7164413928985596, 0.1031423807144165]"
"[0.14289171993732452, 0.03545188903808594, 0.1544794887304306, 0.05888752639293671]",A simple plus sign or symbol.,True,box_yolo_content_yolo,icon,"[0.14289171993732452, 0.03545188903808594, 0.1544794887304306, 0.05888752639293671]"
"[0.00647825188934803, 0.0700499564409256, 0.024161921814084053, 0.10241855680942535]",the back arrow.,True,box_yolo_content_yolo,icon,"[0.00647825188934803, 0.0700499564409256, 0.024161921814084053, 0.10241855680942535]"
"[0.3720370829105377, 0.4363038241863251, 0.3805851638317108, 0.4538930654525757]",A low profile or profile indicator.,True,box_yolo_content_yolo,icon,"[0.3720370829105377, 0.4363038241863251, 0.3805851638317108, 0.4538930654525757]"
"[0.024391481652855873, 0.06972082704305649, 0.03977053612470627, 0.10315277427434921]",A simple arrow or orientation.,True,box_yolo_content_yolo,icon,"[0.024391481652855873, 0.06972082704305649, 0.03977053612470627, 0.10315277427434921]"
"[0.9731799364089966, 0.17243696749210358, 0.9881951212882996, 0.19976449012756348]",A simple symbol or design.,True,box_yolo_content_yolo,icon,"[0.9731799364089966, 0.17243696749210358, 0.9881951212882996, 0.19976449012756348]"
"[0.719676673412323, 0.07221373170614243, 0.7377995252609253, 0.10233991593122482]",A symbol or icon indicating a thumbs up or thumbs up.,True,box_yolo_content_yolo,icon,"[0.719676673412323, 0.07221373170614243, 0.7377995252609253, 0.10233991593122482]"
"[0.12182974070310593, 0.035127922892570496, 0.13596345484256744, 0.059662964195013046]",Close or cancel function.,True,box_yolo_content_yolo,icon,"[0.12182974070310593, 0.035127922892570496, 0.13596345484256744, 0.059662964195013046]"
"[0.26384222507476807, 0.07582226395606995, 0.27719801664352417, 0.09971372783184052]",A symbol or symbol related to religion or religion.,True,box_yolo_content_yolo,icon,"[0.26384222507476807, 0.07582226395606995, 0.27719801664352417, 0.09971372783184052]"
"[4.822612027055584e-05, 0.05879584327340126, 0.0052818600088357925, 0.09144355356693268]",unanswerable,True,box_yolo_content_yolo,icon,"[4.822612027055584e-05, 0.05879584327340126, 0.0052818600088357925, 0.09144355356693268]"
"[0.7759129405021667, 0.11840538680553436, 0.79243403673172, 0.15237092971801758]",the last action or move forward.,True,box_yolo_content_yolo,icon,"[0.7759129405021667, 0.11840538680553436, 0.79243403673172, 0.15237092971801758]"
"[0.9787120819091797, 0.03092804178595543, 0.9926868677139282, 0.06225191056728363]",A simple simple symbol or icon.,True,box_yolo_content_yolo,icon,"[0.9787120819091797, 0.03092804178595543, 0.9926868677139282, 0.06225191056728363]"
"[0.9766880869865417, 0.06960458308458328, 0.9956786632537842, 0.10108830779790878]",A bar with a blue dot in the middle.,True,box_yolo_content_yolo,icon,"[0.9766880869865417, 0.06960458308458328, 0.9956786632537842, 0.10108830779790878]"
"[0.9753895998001099, 0.11940982192754745, 0.9925216436386108, 0.1450933814048767]",Close or cancel action.,True,box_yolo_content_yolo,icon,"[0.9753895998001099, 0.11940982192754745, 0.9925216436386108, 0.1450933814048767]"
